sku,product_name,category,unit_cost,unit,active
SKU000001,monitorizar intermedia enfocado al cliente,Tecnología,6138.11,KG,True
SKU000002,estructura de precios 24 horas centrado en el usuario,Equipamiento,1149.61,KG,True
SKU000003,intranet estable horizontal,Alimentos secos,3642.55,UN,True
SKU000004,fidelidad compuesto visionario,Alimentos refrigerados,45280.46,LT,True
SKU000005,codificar multitarea personalizable,Productos de limpieza,13996.02,CJ,True
SKU000006,portal multiestado de primera línea,Bebidas,36195.29,CJ,True
SKU000007,fidelidad direccional exclusivo,Tecnología,40394.1,KG,True
SKU000008,arquitectura heurística de primera línea,Alimentos refrigerados,32983.24,LT,False
SKU000009,éxito estática actualizable,Insumos industriales,23404.53,UN,True
SKU000010,implementación radical administrado,Alimentos secos,20190.8,LT,True
SKU000011,website dedicada operativo,Productos de limpieza,9660.34,CJ,True
SKU000012,acceso acompasada totalmente configurable,Insumos industriales,9256.05,CJ,True
SKU000013,sistema abierto 4ta generación versátil,Alimentos refrigerados,22212.22,UN,True
SKU000014,sistema abierto homogénea llave pública,Alimentos secos,48452.91,KG,True
SKU000015,focus group compuesto enfocado a ganancias,Insumos industriales,24333.49,KG,False
SKU000016,producto basado en el contexto recontextualizado,Alimentos secos,8315.39,UN,False
SKU000017,marco de tiempo escalable centralizado,Suministros de oficina,46333.25,CJ,True
SKU000018,paralelismo potenciada avanzado,Insumos industriales,34859.92,CJ,True
SKU000019,arquitectura abierta compuesto proactivo,Productos de limpieza,14905.72,UN,True
SKU000020,soporte basado en el contexto de arquitectura abierta,Equipamiento,2952.55,CJ,True
SKU000021,intranet nueva generación ergonómico,Alimentos secos,48042.87,UN,True
SKU000022,focus group discreta con ingeniería inversa,Alimentos refrigerados,29792.25,KG,False
SKU000023,núcleo maximizada enfocado al cliente,Alimentos refrigerados,47085.65,KG,True
SKU000024,base de trabajo 5ta generación enfocado a ganancias,Alimentos refrigerados,21019.32,LT,True
SKU000025,utilización recíproca proactivo,Productos de limpieza,33519.33,LT,True
SKU000026,analista tolerante a fallos virtual,Suministros de oficina,19849.71,LT,False
SKU000027,base de datos global automatizado,Equipamiento,46458.01,UN,True
SKU000028,superestructura nueva generación compatible,Tecnología,31095.85,UN,True
SKU000029,solución híbrida totalmente configurable,Productos de limpieza,25343.65,KG,True
SKU000030,estructura de precios valor añadido personalizable,Alimentos refrigerados,43975.59,LT,True
SKU000031,fidelidad dinámica avanzado,Bebidas,21965.41,LT,True
SKU000032,conjunto valor añadido orgánico,Suministros de oficina,46594.63,UN,True
SKU000033,proyecto 4ta generación en toda la empresa,Suministros de oficina,5859.89,UN,True
SKU000034,fidelidad multiestado preventivo,Suministros de oficina,14159.64,KG,True
SKU000035,hardware holística mejorado,Productos de limpieza,34406.11,LT,False
SKU000036,aplicación estable distribuido,Suministros de oficina,45276.29,UN,True
SKU000037,focus group misión crítica enfocado a la calidad,Insumos industriales,41484.47,UN,True
SKU000038,monitorizar global open-source,Equipamiento,38578.85,LT,True
SKU000039,infraestructura homogénea descentralizado,Tecnología,27628.85,CJ,True
SKU000040,desafío basado en el contexto innovador,Alimentos refrigerados,3854.67,KG,True
SKU000041,política multiestado intuitivo,Equipamiento,29167.23,KG,False
SKU000042,productividad direccional operativo,Bebidas,2187.26,LT,True
SKU000043,interfaz gráfica 5ta generación llave pública,Equipamiento,10582.82,KG,True
SKU000044,implementación incremental multiplataforma,Equipamiento,39027.8,CJ,True
SKU000045,encriptar discreta enfocado a la calidad,Productos de limpieza,43243.82,KG,False
SKU000046,aplicación holística fundamental,Alimentos secos,9050.1,LT,False
SKU000047,metodologías tangible personalizable,Productos de limpieza,13413.6,UN,False
SKU000048,jerarquía escalable seguro,Alimentos secos,42943.8,KG,True
SKU000049,utilización regional intuitivo,Tecnología,17547.96,KG,True
SKU000050,website nueva generación realineado,Alimentos secos,33035.66,CJ,True
SKU000051,jerarquía maximizada optimizado,Suministros de oficina,43231.21,LT,True
SKU000052,producto 24 horas total,Insumos industriales,34007.95,LT,True
SKU000053,website alto nivel asimilado,Alimentos refrigerados,43864.22,LT,True
SKU000054,portal modular mejorado,Suministros de oficina,2009.03,CJ,True
SKU000055,acceso nacional persistente,Equipamiento,21876.05,UN,False
SKU000056,arquitectura motivadora de primera línea,Productos de limpieza,12810.65,CJ,True
SKU000057,productividad sistemática en red,Productos de limpieza,18274.65,UN,True
SKU000058,red de area local acompasada mandatorio,Equipamiento,33203.04,UN,True
SKU000059,inteligencia artificial ejecutiva intuitivo,Suministros de oficina,33377.96,LT,False
SKU000060,paralelismo radical ergonómico,Suministros de oficina,27765.18,KG,False
SKU000061,conglomeración tolerante a fallos operativo,Insumos industriales,33898.17,KG,True
SKU000062,interfaz gráfica sistemática multicanal,Insumos industriales,27442.07,UN,True
SKU000063,proceso de mejora monitorizada por red compatible,Suministros de oficina,10588.12,LT,False
SKU000064,fidelidad nacional compatible,Tecnología,22163.77,KG,False
SKU000065,solución 5ta generación configurable,Bebidas,32976.65,LT,True
SKU000066,algoritmo amplio abanico programable,Alimentos refrigerados,40939.33,KG,True
SKU000067,aplicación ejecutiva llave pública,Productos de limpieza,40347.49,KG,True
SKU000068,función discreta open-source,Alimentos secos,12317.64,CJ,True
SKU000069,red de area local nacional enfocado al negocio,Tecnología,20780.61,KG,False
SKU000070,función interactiva digitalizado,Tecnología,20042.68,KG,True
SKU000071,focus group direccional integrado,Alimentos refrigerados,38943.18,KG,True
SKU000072,base de trabajo coherente personalizable,Tecnología,2605.9,KG,True
SKU000073,interfaz valor añadido administrado,Tecnología,6753.62,CJ,True
SKU000074,proyecto multitarea diverso,Tecnología,30671.35,CJ,False
SKU000075,algoritmo orientado a objetos descentralizado,Bebidas,37208.41,CJ,False
SKU000076,concepto motivadora exclusivo,Suministros de oficina,37613.66,LT,False
SKU000077,medición local actualizable,Productos de limpieza,13802.41,UN,True
SKU000078,enfoque asíncrona multiplataforma,Productos de limpieza,13658.58,LT,True
SKU000079,fidelidad logística descentralizado,Bebidas,7626.45,CJ,True
